text,intent,id
how do i locate my credit score,credit_score,train-116
go ahead and roll those dice,roll_dice,train-117
what is the time frame to get to phoenix,distance,train-118
what's a good place to go to for food around here,restaurant_suggestion,train-119
how do i make lemon merengue pie,recipe,train-120
does the calendar already have easter noted on it,calendar,train-121
change the language you're using to american english,change_language,train-122
what is 10 to the 12th power,calculator,train-123
what's a simple chinese recipe for dinner,meal_suggestion,train-124
do you know the meaning of life,meaning_of_life,train-125
who made this ai,who_made_you,train-126
"if my car battery is dead, what action do i need to do",jump_start,train-127
i need to increase my credit limit,credit_limit_change,train-128
what things are on my shopping list,shopping_list,train-129
i have been spending a lot on insurance lately,spending_history,train-130
is there evening reservations available in the eve,accept_reservations,train-131
can you tell me the exchange rate for yen to euros,exchange_rate,train-132
what's my current credit limit,credit_limit,train-133
yo play that song that go like she take my money,play_music,train-134
i advise you to quit talking,cancel,train-135
please make the pin on my zion bank account to 3232,pin_change,train-136
can you tell me how to set up a direct deposit,direct_deposit,train-137
whats left as far as gas goes,gas,train-138
i need to know how to spell superficial,spelling,train-139
can you cancel,cancel,train-140
list all of my health benefits,insurance,train-141
i lost my luggage coming from chicago on delta flight ab123,lost_luggage,train-142
has my recent order shipped,order_status,train-143
i want you to change the ai name,change_ai_name,train-144
"on a flight with allegiant to orlando, how many carry ons can i take",carry_on,train-145
let lucy know my gps coordinates,share_location,train-146
change the ai name to a new one,change_ai_name,train-147
which timezone is buenos aires in,timezone,train-148
i would love an italian meal suggestion,meal_suggestion,train-149
i wanna add this song to my rock playlist,update_playlist,train-150
can i please know the credit limit for my citibank card,credit_limit,train-151
how much on bills to i have to pay,bill_balance,train-152
what do i do to request a vacation,pto_request,train-153
i want you to call me something else,change_user_name,train-154
how many calories should i plan to be in a donut,calories,train-155
maybe either,maybe,train-156
help me set up direct deposit to my bank of hawaii checking account,direct_deposit,train-157
the location of my phone is unknown to me,find_phone,train-158
do i need vaccinations to travel overseas,vaccines,train-159
set my amex pin to 1234,pin_change,train-160
how do you say i'm hungry in french,translate,train-161
make me giggle,tell_joke,train-162
could you list out the carry-on restrictions for american airlines,carry_on,train-163
when's the next time i should change my tires,tire_change,train-164
tell me when ninety minutes have passed,timer,train-165
please remind me to do this later,reminder_update,train-166
where can i look to learn to make sushi,recipe,train-167
help me get an uber,uber,train-168
where am i right this moment,current_location,train-169
were you born in a hospital,where_are_you_from,train-170
tell me how do i schedule a meeting,schedule_meeting,train-171
what are the total calories for two servings of pasta,calories,train-172
i need a recipe for beef,recipe,train-173
why can't i get into my account,account_blocked,train-174
roll die,roll_dice,train-175
can you give me an overview of what march 23 will look like for me,calendar,train-176
please find the exact payment due date for my sprint phone bill,bill_due,train-177
do i need an international visa to go to brazil,international_visa,train-178
put a stop on my deposit account,freeze_account,train-179
do i have enough in my chase account for a plane ticket,balance,train-180
what's on my meeting schedule today,meeting_schedule,train-181
can i harm my credit if i miss a car payment,improve_credit_score,train-182
i didn't hear say it again please,repeat,train-183
how to locate my credit score,credit_score,train-184
where can i rent a car in boston,car_rental,train-185
how do i move my 401k,rollover_401k,train-186
that is a yes,yes,train-187
i don't know how to change my oil or what type i need,oil_change_how,train-188
can acero take reservation,accept_reservations,train-189
what's the shelf life for eggs in the fridge,food_last,train-190
do i have any appointments on tuesday,calendar,train-191
give me the specifics on my federal taxes,taxes,train-192
what food from italy do you suggest,meal_suggestion,train-193
i need you to confirm that there is a reservation under the name david kramer for 7:00 pm at pietro's,confirm_reservation,train-194
what would the interest rate at wells fargo be,interest_rate,train-195
what timezone is boise in,timezone,train-196
will i need a visa to travel to cancun,international_visa,train-197
add this song to my post-rock playlist,update_playlist,train-198
tell me about the reviews for chilis,restaurant_reviews,train-199
how many miles per gallon am i getting,mpg,train-200
how do i find when my water bill needs to be paid,bill_due,train-201
what's the point balance on my marriot rewards card,rewards_balance,train-202
when do cars need their oil changed,oil_change_when,train-203
what number of vacation days remain for me,pto_balance,train-204
"it was great to see you again, see ya later!",goodbye,train-205
how old are you today,how_old_are_you,train-206
set up direct deposit for me,direct_deposit,train-207
what is the number of points i earned with my mastercard,rewards_balance,train-208
"in bst timezone, what time is it",time,train-209
"i would like to confirm my 7:30 pm reservation at morton's steakhouse, under michael james",confirm_reservation,train-210
can you you confirm my reservation for jean at taco house,confirm_reservation,train-211
what is the proper way to spell diamond,spelling,train-212
find repair shop that will diagnosis dead car battery,jump_start,train-213
i want to cancel my reservation for 5 at red robin,cancel_reservation,train-214
what are the reviews like for bar tartine,restaurant_reviews,train-215
how many points do i have in total on my marriot rewards card,rewards_balance,train-216
i want you to talk more quickly,change_speed,train-217
it could be possible,maybe,train-218
call friend,make_call,train-219
i need to know how much gas is left,gas,train-220
what is the balance on my bank accounts,balance,train-221
i want you to be in whisper mode now because i am in the library,whisper_mode,train-222
tell me the month that my credit card will expire,expiration_date,train-223
please tell me how to ask for a taxi in french,translate,train-224
can i make a reservation at michael's,accept_reservations,train-225
what kinds of things can you do,what_can_i_ask_you,train-226
find what the word diaphanous mean please,definition,train-227
tell me what is on my calendar for may 3,calendar,train-228
"i will be in uruguay from january to august, please let me bank know",travel_notification,train-229
i want a timer for 5 minutes,timer,train-230
what do i have to do on march 2 that's on my calendar,calendar,train-231
how many minutes do i cook baked ziti,cook_time,train-232
what is the fridge life of spahghetti,food_last,train-233
please help me schedule a meeting with john love at 9 am tomorrow,schedule_meeting,train-234
where can i see my credit score,credit_score,train-235
help me get an american express card,new_card,train-236
i wanna add help! by the beatles to my playlist,update_playlist,train-237
i really need to order some more checks for my savings account,order_checks,train-238
"yes, that's accurate",yes,train-239
my transaction history,transactions,train-240
my damage card is not working,damaged_card,train-241
is ice cream currently on my shopping list,shopping_list,train-242
what is an 18 percent tip on 20 dollars,calculator,train-243
how much money do i have coming in each month,income,train-244
is there another person you work for,who_do_you_work_for,train-245
i would like to know my current location,current_location,train-246
put a hault on my savings account,freeze_account,train-247
i need to know if there are transaction fees for my visa card in canada,international_fees,train-248
no idea,maybe,train-249
walk me through the items on my reminder list,reminder,train-250
can you tell me the total cost of my bills please,bill_balance,train-251
show me the transaction on burger king,transactions,train-252
how do i set up direct deposit to my chase account,direct_deposit,train-253
how long is the validity of my credit card,expiration_date,train-254
starbucks near me,directions,train-255
get me an uber to the airport,uber,train-256
please go ahead and increase your speaker volume,change_volume,train-257
what's your age again,how_old_are_you,train-258
what is the limit on my credit,credit_limit,train-259
can you kindly clear my agenda list,todo_list_update,train-260
check if my shopping list has tomato,shopping_list,train-261
"you need to call the melt in lakewood for a table for at 2:00, monday, the first week in march",restaurant_reservation,train-262
"yes, that's affirmative",yes,train-263
let me know how much gas i have,gas,train-264
what is the lowest amount i can pay for my electric bill,min_payment,train-265
what is miami weather like,weather,train-266
find me a rental car from 3/6 - 3/9 in port charles,car_rental,train-267
provide me the number of vacation days i have,pto_balance,train-268
find out what this song is,what_song,train-269
give me some ideas on what i can do in seattle for fun,travel_suggestion,train-270
what is the minimum payment on my phone bill,min_payment,train-271
would you mind switching to whisper mode,whisper_mode,train-272
"i need to report my card as stolen, please",report_lost_card,train-273
does italy have any travel alerts i should be aware of,travel_alert,train-274
how safe is it to travel to mongolia (how safe is mongolia),travel_alert,train-275
whats the predicted weather suppose to be like,weather,train-276
what amount of days off have i already utilized,pto_used,train-277
what are some of the attractions in gatlinburg,travel_suggestion,train-278
please put milk on my list i just used the last of it,shopping_list_update,train-279
what kind of gas does this car need,gas_type,train-280
tell me my shopping list,shopping_list,train-281
who or what association do you work for,who_do_you_work_for,train-282
"can you give me a burmese meal suggestion, please",meal_suggestion,train-283
whisper from here on out please,whisper_mode,train-284
what gas mileage does my car get,mpg,train-285
need the tv on please,smart_home,train-286
check my car's tire pressure,tire_pressure,train-287
i'm on a new job but i need help with my 401k rollover,rollover_401k,train-288
can you text mary and tell them it's ready,text,train-289
"who do i go to, to transfer my 401k",rollover_401k,train-290
how much cash do i earn,income,train-291
make sure april 1 is clear on my calendar,calendar_update,train-292
direct me to the closest starbucks near home,directions,train-293
can you tell me my credit limit,credit_limit,train-294
i need to catch an uber to cal expo,uber,train-295
bloomingdale's declined my card and i'd like to know why,card_declined,train-296
report discover card as lost,report_lost_card,train-297
i need to know my current gps coordinates,current_location,train-298
please tell me what's provided in my health benefits,insurance,train-299
what is the minimum payment i can make on my xcel energy bill,min_payment,train-300
can you tell me some of your hobbies,what_are_your_hobbies,train-301
can you play music by bob dylan,play_music,train-302
could you schedule car maintenance for me,schedule_maintenance,train-303
"is there anything fun to do in manassas, virginia",travel_suggestion,train-304
that is untrue,no,train-305
i believe there's fraud on my card,report_fraud,train-306
so when is my flight landing,flight_status,train-307
can you swap to male voice,change_accent,train-308
is it possible to increase the credit limit for my discover card,credit_limit_change,train-309
do when you when my replacement card will get mailed,replacement_card_duration,train-310
what's the traffic like around the stadium,traffic,train-311
are socket converters necessary in england,plug_type,train-312
do i need a socket converter if i'm going to be in france,plug_type,train-313
how do i get to the leaning tower by bus,directions,train-314
is the sushi well-received at yakamoto,restaurant_reviews,train-315
show me all gas purchases within the last month,transactions,train-316
how many vacation days do i have to spend,pto_balance,train-317
do i have a day off coming up soon,next_holiday,train-318
please make sure oranges are on my shopping list,shopping_list_update,train-319
i'm looking for a roundtrip flight from fwa to hsv for march first to march fifth,book_flight,train-320
tell me what my credit rating is,credit_score,train-321
check my calendar for saturday,calendar,train-322
when is the next day i have off,next_holiday,train-323
what does my to-do list consist of,todo_list,train-324
i wanna know the types of subjects are you familiar with,what_can_i_ask_you,train-325
i dont know,maybe,train-326
"at 9 tomorrow, set off the alarm",alarm,train-327
who tells you what to do,who_do_you_work_for,train-328
are reservations taken at redrobin,accept_reservations,train-329
when should i expect my flight to come in,flight_status,train-330
raise the volume,change_volume,train-331
"how far is the grand canyon from my current location in phoenix, az",distance,train-332
what country were you made,where_are_you_from,train-333
i lost my phone,find_phone,train-334
please check my credit limit on my visa,credit_limit,train-335
help me determine my interest rate,interest_rate,train-336
what day will it be in fourteen days,date,train-337
when's payday,payday,train-338
i made a fraudulent transaction,report_fraud,train-339
how's traffic en route to virginia,traffic,train-340
lock all the doors,smart_home,train-341
make an alarm 6am,alarm,train-342
tell me something funny about people,tell_joke,train-343
can i book a hotel in new york city near times square from 3/1 until 3/5,book_hotel,train-344
switch the language setting over to german,change_language,train-345
is there a way to get a larger limit on my bank of america card,credit_limit_change,train-346
i need to know the items on my shopping list,shopping_list,train-347
look up when my flight is set to start boarding,flight_status,train-348
when should my oil be changed,oil_change_when,train-349
where is there meaning in life,meaning_of_life,train-350
what is the credit card apr please,apr,train-351
"are eggs on my list, if not add them",shopping_list_update,train-352
what is the credit card's apr,apr,train-353
report lost card to discover company,report_lost_card,train-354
check to see if picking up glenn from the airport is on my list of reminders,reminder,train-355
would you add bananas to my shopping list as i am out,shopping_list_update,train-356
how long should i cook the eggs for,cook_time,train-357
where is the w-2 form located,w2,train-358
how are things,greeting,train-359
what is the name of this song,what_song,train-360
can you change the way you talk to a male british voice,change_accent,train-361
please transfer $250 from checking to savings,transfer,train-362
what's the fuel level,gas,train-363
add this song to my jazz playlist,update_playlist,train-364
i got to schedule some car maintenance,schedule_maintenance,train-365
would you tell me a joke,tell_joke,train-366
might you have any hobbies,what_are_your_hobbies,train-367
text josh and tell him i need a delivery,text,train-368
what does kentucky have to offer for things to do,travel_suggestion,train-369
when is my next oil change suggested,oil_change_when,train-370
what is the average time to get to walmart in mays landing,distance,train-371
please tell me the last time i took my car to the shop,last_maintenance,train-372
restore the factory settings,reset_settings,train-373
what type of gas am i allowed to put in this car,gas_type,train-374
flip a coin one time,flip_coin,train-375
how long should i cook a spiral ham,cook_time,train-376
move to the next song,next_song,train-377
do i have any reminders to look up how to properly do a potato in my microwave,reminder,train-378
tell me the nutrition for grapes,nutrition_info,train-379
i'd like to change my pin number for my checking account,pin_change,train-380
can you share the meaning of life,meaning_of_life,train-381
what's the purpose of existence,meaning_of_life,train-382
let cora and nancy know were i am now,share_location,train-383
are there any interesting activities to do in austin,travel_suggestion,train-384
can you just use regular milk instead of buttermilk,ingredient_substitution,train-385
please turn on the alarm,alarm,train-386
can you switch off,cancel,train-387
let me call you fred,change_ai_name,train-388
this was a great conversation,goodbye,train-389
can i swap coconut milk for condensed milk,ingredient_substitution,train-390
you're talking too fast i need you to slow it down,change_speed,train-391
"around nine, is ambrosio busy",how_busy,train-392
"order new checks, please",order_checks,train-393
what is the highway mpg on this car,mpg,train-394
roll dice now,roll_dice,train-395
what health benefits do i have,insurance,train-396
i'd like a block on my charles schwab account immediately,freeze_account,train-397
"ai, tell me what things i should ask of you",what_can_i_ask_you,train-398
please set an alarm for 5 am,alarm,train-399
please speak german to me from now on,change_language,train-400
what funny joke do you know,tell_joke,train-401
what's song am i hearing,what_song,train-402
do i need to read any travel alerts for kenya,travel_alert,train-403
what's the meaning of affiliate,definition,train-404
what am i hearing on the speakers now,what_song,train-405
what's the cheapest fares from lax to sfo for round trip flights leaving april 1st and returning april 7th,book_flight,train-406
what is the definition of my health benefits,insurance,train-407
can you convert millimeters to centimeters,measurement_conversion,train-408
are you my employee,who_do_you_work_for,train-409
what's the meaning of a fortnight,definition,train-410
does macedonia have any travel alerts i should be aware of,travel_alert,train-411
on my chase bank account what is the interest rate,interest_rate,train-412
translate for me hello into french,translate,train-413
what ingredients do i need to make potato skins,ingredients_list,train-414
add this song to my cleaning playlist,update_playlist,train-415
what is my vacation schedule look like,pto_balance,train-416
did i do something to get my bank account frozen,account_blocked,train-417
not sure if that's a yes or a no,maybe,train-418
tell me where my phone is,find_phone,train-419
could you send a text to marty and say i am running behind,text,train-420
is it hot outside,weather,train-421
tell me the limit on my discover card,credit_limit,train-422
can you calculate my tax,taxes,train-423
what is needed to set up direct deposit,direct_deposit,train-424
how soon should i have my oil changed,oil_change_when,train-425
i'd like to hear about your hobbies,what_are_your_hobbies,train-426
tell me what the date is tomorrow,date,train-427
what's the traffic typically like at 3:30 on the route to phoenix,traffic,train-428
tell me what my tire pressure is,tire_pressure,train-429
can i safely eat chicken that i've had in my fridge since monday,food_last,train-430
why did macy's decline my card,card_declined,train-431
engage whisper mode now,whisper_mode,train-432
"i would like to set up a direct deposit, please tell me how",direct_deposit,train-433
can i hurt my credit score,improve_credit_score,train-434
"hello, ai",greeting,train-435
what kind of hobbies do you like to do,what_are_your_hobbies,train-436
could you please switch to whisper mode,whisper_mode,train-437
does laos require a travel visa,international_visa,train-438
i want to hear more about how i can use my credit card points,redeem_rewards,train-439
give me a recommendation to improve my credit score,improve_credit_score,train-440
add help! by the beatles to my playlist,update_playlist,train-441
does macaroni grill have a wait how long,how_busy,train-442
change pin to 1234 on account banner,pin_change,train-443
when did i last do maintenance on my car,last_maintenance,train-444
what kind of greek food is good for dinner,meal_suggestion,train-445
go now and increase the volume to 4 please,change_volume,train-446
what kind of meetings do i have today,meeting_schedule,train-447
read my to-do list to me,todo_list,train-448
book me a meeting room for 12pm on february 28th,schedule_meeting,train-449
can you please put a stop on my bank account,freeze_account,train-450
"ai, stop talking",cancel,train-451
show me where i am,current_location,train-452
get the tracking on my package,order_status,train-453
what do you like to do for fun,what_are_your_hobbies,train-454
can you set me a reminder,reminder_update,train-455
has my delivery order showed up,order_status,train-456
what would four inches be in centimeters,measurement_conversion,train-457
how much do americans pay for federal taxes on average,taxes,train-458
"can you give me a vietnamese meal suggestion, please",meal_suggestion,train-459
what is the weather report for seattle,weather,train-460
how do i change my insurance policy,insurance_change,train-461
did i spend a lot on shoes recently,spending_history,train-462
i want to change your name to emma,change_ai_name,train-463
tell the restaurant i cannot make it,cancel_reservation,train-464
i need to know if i have any meetings scheduled for today,meeting_schedule,train-465
do i need a vaccination to go to europe,vaccines,train-466
what are the gps coordinates of this spot i am at right now,current_location,train-467
"around 5 pm, how busy is kaya",how_busy,train-468
tell me how to get to target by bus,directions,train-469
because of circumstances i don't need my reservation anymore,cancel_reservation,train-470
please look into the latest status of my credit card application,application_status,train-471
what's the name of this release,what_song,train-472
where on the cheerios box are the nutrition facts,nutrition_info,train-473
what are your favorite hobbies,what_are_your_hobbies,train-474
what do i have on my calendar for monday the 1st of march,calendar,train-475
tell me how to schedule a meeting,schedule_meeting,train-476
that is not true,no,train-477
my credit card was stolen; how long before a new one will arrive,replacement_card_duration,train-478
the bill for water and electricity is how much,bill_balance,train-479
pay my cable bill from my facebook account,pay_bill,train-480
my current location,current_location,train-481
what is the weather like in denver,weather,train-482
i suspect fraudulent transaction,report_fraud,train-483
where is my w-2,w2,train-484
get me an uber,uber,train-485
can you tell me what the form is employers are supposed to send you for taxes and where i get it,w2,train-486
send money to another account,transfer,train-487
how much will i have to pay in colorado taxes,taxes,train-488
how long is it safe to leave shrimp in the fridge,food_last,train-489
does medical debt hurt my credit score,improve_credit_score,train-490
how do i create a meeting,schedule_meeting,train-491
what are some of the hobbies you enjoy doing,what_are_your_hobbies,train-492
should i buy a specific plug type when in china,plug_type,train-493
speak slower,change_speed,train-494
i must apply for a new credit card,new_card,train-495
can you tell me denver's timezone,timezone,train-496
i need you to roll an 8 sided dice,roll_dice,train-497
"how do i get my pin number, i forgot mine",pin_change,train-498
can i improve my credit score,improve_credit_score,train-499
"i have had pizza in the fridge since monday, so is it safe to eat",food_last,train-500
did i put bread on my shopping list,shopping_list,train-501
"i can't decide on dinner, what do you suggest",meal_suggestion,train-502
i want to know how long it is from here to the sky harbor airport,distance,train-503
assist me in getting a car rental,car_rental,train-504
when was i last paid,payday,train-505
what's the balance of my reward points on my discover card,rewards_balance,train-506
does wendy's have good reviews,restaurant_reviews,train-507
what are my gps coordinates right now,current_location,train-508
can you check where my luggage is off jetblue flight ab123 out of buffalo,lost_luggage,train-509
i need help finding the apr on my aspire loan,interest_rate,train-510
what are you,are_you_a_bot,train-511
tell me how old youare,how_old_are_you,train-512
can you switch out of whisper mode,whisper_mode,train-513
switch to quiet mode,whisper_mode,train-514
is mr ceo waiting me now,meeting_schedule,train-515
where are your origins found,where_are_you_from,train-516
tell me how long can i keep pizza in the freezer for before it goes bad,food_last,train-517
can you freeze my account,freeze_account,train-518
i need to confirm that i have a reservation at red robin for josh,confirm_reservation,train-519
what was the problem with my card yesterday,card_declined,train-520
how many rewards points do i have for my wells fargo card,rewards_balance,train-521
what should i ask you about,what_can_i_ask_you,train-522
book an uber for 6 people to go to the movies,uber,train-523
limit your volume,change_volume,train-524
how is the tread on my tires,tire_change,train-525
how much are the international transaction fees for my chase card,international_fees,train-526
how many ounces are in a cup,measurement_conversion,train-527
what's the date of the next closest holiday,next_holiday,train-528
do i owe any bills,bill_balance,train-529
i need to know how to apply for a visa card,new_card,train-530
what does the carry-on policy say for flights on united airlines,carry_on,train-531
fill me in on the apr for my american express card,apr,train-532
whats the name of the playing song,what_song,train-533
what does 6 x 1 equal,calculator,train-534
my card declined yesterday and i want to know why,card_declined,train-535
how many euros can i exchange for 200 yen,exchange_rate,train-536
how do i keep my credit score from dropping,improve_credit_score,train-537
am i your boss,who_do_you_work_for,train-538
what are the pets that you raise,do_you_have_pets,train-539
buy all the things on the shopping list,order,train-540
would it be possible for you to mail me new checkbooks,order_checks,train-541
"what time is it in houston, tx",time,train-542
how much is the interest rate for the account i have at bluebird,interest_rate,train-543
it was nice to talk it out with you,goodbye,train-544
where can i find my w-2 form,w2,train-545
tell me a joke about animals,tell_joke,train-546
i want to hear the next song,next_song,train-547
can you see if you can track where my luggage is,lost_luggage,train-548
i just used up my toothpaste and need you to order more,order,train-549
i gotta add hey jude by the beatles to my playlist,update_playlist,train-550
"how do i reset my pin number for my account, please",pin_change,train-551
when's the ac bill due,bill_due,train-552
can you make me laugh,tell_joke,train-553
i want to rent a bmw suv for dallas from march 2 to 6th,car_rental,train-554
call sandra right now,make_call,train-555
go ahead and move $200 from amazon to my bank account,transfer,train-556
tell me the plug type that is used in scotland,plug_type,train-557
"my card needs replaced, i accidentally scraped it",damaged_card,train-558
what's the best place for some thai in new york city,restaurant_suggestion,train-559
how to find lost luggage,lost_luggage,train-560
"yes, that is correct",yes,train-561
is it possible to get more checkbooks for my wells fargo checkings,order_checks,train-562
is my delta flight on time,flight_status,train-563
please tell me trivia about hamburgers,fun_fact,train-564
tell me something funny about parenting,tell_joke,train-565
what is the point of life,meaning_of_life,train-566
"at noon, schedule a meeting with saul",schedule_meeting,train-567
what is the age of the ai,how_old_are_you,train-568
how can i roll over my 401k,rollover_401k,train-569
add this song to the end of my led zeppelin playlist,update_playlist,train-570
what's the distance between home and the closest starbucks,directions,train-571
let me check my transaction for first bank card,transactions,train-572
did the application i put in for a mastercard go through yet,application_status,train-573
do you know how to say where is the restroom in french,translate,train-574
what's 3 plus 3,calculator,train-575
what do you do to occupy your free time,what_are_your_hobbies,train-576
how long does it take to make lasagna,cook_time,train-577
add walk by pantera to my playlist,update_playlist,train-578
the meaning of life,meaning_of_life,train-579
i need you to make a reminder for me to give the cat her flea medicine,reminder_update,train-580
can i take pto form march 4 to march 6,pto_request,train-581
tell me when my car last had its oil changed,last_maintenance,train-582
how can you convert miles to kilometers,measurement_conversion,train-583
i want to hear some music,play_music,train-584
track my package now please,order_status,train-585
i require a coin flip,flip_coin,train-586
do you have a name i should call you by,what_is_your_name,train-587
how long do i have before frozen chicken will go bad,food_last,train-588
have you heard how the enchiladas are at jose's taco shop,restaurant_reviews,train-589
if i go to dublin is a socket converter needed,plug_type,train-590
what's my bank balance,balance,train-591
"how do i change my pin number for my account, please",pin_change,train-592
hiya!,greeting,train-593
how much have i spent on food recently,spending_history,train-594
what type of pet do you have,do_you_have_pets,train-595
id like a rental car in denver colorado between january 1st and january 3rd and id like a ford if possible,car_rental,train-596
please call me bob,change_user_name,train-597
dial steven,make_call,train-598
tell me if flipping the mattress is on my list of reminders please,reminder,train-599
can you tell me where to get a w2,w2,train-600
please use a quicker rate of speech,change_speed,train-601
how good are the ratings for per se,restaurant_reviews,train-602
locate my w-2 form,w2,train-603
pull up my shopping list for me,shopping_list,train-604
what's the expiration for steak,food_last,train-605
does gramercy tavern accept reservations,accept_reservations,train-606
has ruby tuesday got good reviews,restaurant_reviews,train-607
i would like to know my water bill minimum payment,min_payment,train-608
where can i check my credit rating,credit_score,train-609
what is your birthday again,how_old_are_you,train-610
would you be able to tell me how to make a vacation request,pto_request,train-611
i want to add farm trip to my calendar for friday,calendar_update,train-612
review of my card apr,apr,train-613
change to a male british accent,change_accent,train-614
will you tell me my routing number,routing,train-615
can you find out why is my bank account frozen,account_blocked,train-616
i appreciate your help,thank_you,train-617
what's the prep time for a garden salad,cook_time,train-618
are my state tax payments too high,taxes,train-619
what's the song currently playing,what_song,train-620
how many minutes to melt cheese,cook_time,train-621
i want to know the expiry month of my card,expiration_date,train-622
freeze my bank account,freeze_account,train-623
