text,id
can credit card companies expedite delivery of reissued credit cards,test-321
i need to know how to do direct deposit with my paycheck at nations bank,test-322
what steps should be taken to jump start a car,test-323
how do i freeze my bank account,test-324
"i'd like an uber for 6 people, going to walmart",test-325
what amount of interest does my checking account at chase earn,test-326
i need a routing number,test-327
lets play some music by korn,test-328
are there are any good places in washington that serve cheese pizza,test-329
is there any meetings from 5 to 6 pm,test-330
how many days milk can be preserved,test-331
does the shopping list have apples on it,test-332
is my oil change coming up soon,test-333
how many points do i have on my visa,test-334
let ann and scott know where i am,test-335
get mom on the phone,test-336
am i okay to take those vacation days,test-337
what kind of things to you like to outside of work,test-338
where in syracuse can i book a car,test-339
will you make sure ann and scott know my location,test-340
can i move some money between my two accounts,test-341
what is the calorie content in potatoes,test-342
tell me a blonde joke,test-343
"do you know how to spell, bourgeois",test-344
make sure to put eggs on the grocery list,test-345
tell me what name you have for me,test-346
what is the interesting trivia about human bodies,test-347
"if something is 15% off $35, how much is it",test-348
text jean and tell him to call work,test-349
does my apr rate suck,test-350
it was really awesome to talk to you,test-351
reset all settings to the factory settings,test-352
what is the calorie content in french fries,test-353
what is the status of the order i placed with you yesterday,test-354
take paper towels off of my shopping list,test-355
i want to transfer my 401k,test-356
tell me a joke about elephants,test-357
what's the name of my health insurance plan,test-358
can you fake roll a die for me,test-359
am i able to order more checkbooks for my chase account,test-360
i'd like more checkbooks mailed to me,test-361
i would like to know what type of things you can help me with,test-362
what's on my to-buy list,test-363
does it take long to get to yankee stadium in the bronx,test-364
can you help me pay my electricity bill,test-365
is it safe for me to visit malawi,test-366
who is your maker,test-367
add eggs to my shopping list if it's not already there,test-368
when's the next time i have to get an oil change,test-369
how do i make you talk faster,test-370
can i get the interest rate for my checking account,test-371
would you repeat what you said earlier,test-372
whisper mode,test-373
call me an uber please,test-374
tell me my current health plan,test-375
is it ok to use oil spray instead of canola oil,test-376
tell me something funny about the middle ages,test-377
tell me when i'll need new tires,test-378
how long is a bus ride to staples,test-379
my electric bill should be paid today,test-380
when is the next time i should change my oil,test-381
what ingredients are in beef jerkey,test-382
i will rollover my 401k,test-383
can you wake me up at noon,test-384
i need to book a flight on jet blue to boston from new york,test-385
how about i call you sue,test-386
i am needing to know what some of your hobbies are,test-387
can i increase the credit limit on my discover card,test-388
i want to freeze my bank account,test-389
i want to change your name to shelby,test-390
how many vacation days i have used,test-391
i would like to know what you can help with,test-392
"indian cuisine suits me and i'd like a meal suggestion, please",test-393
my card declined,test-394
i need the nutrition facts for ramen,test-395
how long does it take to get to el paso on a bus,test-396
need to know the weather now,test-397
i'm having trouble remembering the pin number to my card,test-398
let me know how many pounds are in 10 kilos,test-399
i must rollover my 401k,test-400
i'd like to use you using russian,test-401
thanks for that response,test-402
i need to know the name that you have for me,test-403
"i don't like this song, can skip it",test-404
please give me the time in tanzania at this moment,test-405
can i put in a pto request for august 1st to august 10th,test-406
are you doing alright,test-407
can you please tell me my income,test-408
iterate over the items on my grocery list,test-409
the intake of calories it it bad,test-410
give me the point total on my visa card,test-411
please add laundry to the chores,test-412
i would like to have an alarm set for me,test-413
tell me how many days i took off,test-414
your speech slower it,test-415
how can i get my rewards for my master card,test-416
how much money do i make from work,test-417
"if i lost my luggage, what should i do next",test-418
who made you,test-419
"looking at the past month, what did i spend total",test-420
"talk to you soon, bye!",test-421
i lost all my stuff that i had packed,test-422
contact bank and let them know about my travel plans,test-423
what place are you from,test-424
i need a hotel between january 1st through 3rd in jacksonville near the stadium,test-425
how far has my application for the hsbc card gone till now,test-426
where is wells fargo's routing number listed,test-427
what roundtrip flights from orlando to vegas are available from thursday to monday,test-428
plug used in china,test-429
what's the way you refer to me,test-430
how high is my credit limit,test-431
check today's calendar for meetings,test-432
i would like for my phone to be synced with you,test-433
my check engine light is on so is anyone available to check it out for me,test-434
i need to know the apr on my wells fargo credit card,test-435
what's my bank of america account getting in interest,test-436
when is my meeting with infrastructure,test-437
will you let me know my bank balance,test-438
can you find out how to report a damaged card,test-439
i got to know how long until the next day off,test-440
what are the steps to get my rewards for my visa card,test-441
"i heard i can transfer my 401k, but don't know how, do you",test-442
when will tofu expire if i keep it in the freezer,test-443
how much money am i making this year at work,test-444
what exactly is my pin,test-445
what's 15% of 68,test-446
thanks for that answer,test-447
are visas required to go to cuba,test-448
do you know how old you are,test-449
what is the expiration month of my card,test-450
you need to shut it,test-451
tell me when i last had my oil changed,test-452
what is my credit max,test-453
can you let michael and julie know my location,test-454
where can i go to have my tires checked out,test-455
chase account direct deposit options,test-456
so what subjects do you like,test-457
i'm afraid i don't know how to answer that,test-458
"i need to buy something, please",test-459
let me know what ingredients i need to make pasta,test-460
current weather,test-461
are they any updates on my order,test-462
what time is it right now at home,test-463
next song,test-464
what's the average cooking time for cooking wings,test-465
i want to change my savings account pin to 1234,test-466
i want to know how many vacation days i have used,test-467
who do i contact to report fraud on my visa,test-468
please notify my bank i'm going to africa between tomorrow and next tuesday,test-469
how do i apply do get myself a visa,test-470
can you tell me what the date of expiry for my visa card is,test-471
ignore the previous command,test-472
do you know when my next check is coming,test-473
do i have enough gas to get home,test-474
i need this song on my meditation playlist,test-475
ist all carry-on restrictions applicable to my flight,test-476
where can i cash out my card points,test-477
where do i see what interest my mortgage has,test-478
pull up everything i need to make a pasta dish,test-479
my credit rating is what,test-480
do you have friendly or unfriendly pets,test-481
what's the status of by delta flight,test-482
how much cash do i have in my bank accounts,test-483
will you call and check on my reservation for john at bardenay,test-484
how many places in dallas can i rent a car,test-485
could you share my credit score,test-486
i want to know the status of my credit card application,test-487
send sarah my current location,test-488
let's flip a coin i choose heads,test-489
"is my flight, dl123 on time",test-490
call my bank and ask them why my account is frozen,test-491
which kinds of pets do you own,test-492
i've lost my phone somewhere,test-493
charge my internet bill to the corporate account,test-494
what things are on my shopping list today,test-495
i have a crap transaction from guitar center on my account,test-496
find a decent rental care for next week at the philadelphia airport,test-497
do i need a visa to go to colombia,test-498
what is my credit limit on my discover,test-499
why does us bank have a hold on my account,test-500
when is my paycheck arriving,test-501
switch whisper mode off,test-502
how many dollars is 20 yen worth,test-503
do i have twinkies on the grocery list,test-504
want to know the weather,test-505
oliver garden reviews,test-506
i want a fun fact about london,test-507
please make your language setting norwegian,test-508
please tell me how to increase credit limit for the chase card,test-509
can you tell me this vehicles gas type,test-510
"for this design, what company did it",test-511
tell me my to-do list,test-512
how do you say fast in spanish,test-513
when is my new card expected to arrive,test-514
whats the mpg of this car,test-515
that's right,test-516
play the song called baby shark,test-517
i do not want my phone synced anymore,test-518
what is the largest transaction i have made on video games this month,test-519
play the next one,test-520
what is the price of bluetooth speakers on amazon,test-521
what is the current time,test-522
how about lets start calling you juliette,test-523
let's take a look at the weather,test-524
what is needed to make lasagna,test-525
change voice to female,test-526
is it possible for me to get a better credit card,test-527
"if i use applesauce instead of oil, will that mess it up",test-528
what is 48 multiplied by 4 divided by 2,test-529
does denver reside in the eastern timezones,test-530
are you able to put a stop on my bank account,test-531
"i'd like to send a text to jack, say ""hi",test-532
i am hoping you can put a stop on my bank account,test-533
what kind of indian would you recommend,test-534
i need the time zone for la,test-535
get me an uber for 3 people uptown,test-536
find out if there's a new credit card that suits me,test-537
"i heard some woman say she was going to yerd me, what's that mean",test-538
are you actually a person,test-539
take toilet paper off my shopping list and add paper towels,test-540
please tell me the current location,test-541
what ingredients are necessary to make spaghetti carbonara,test-542
let's go to the next song please,test-543
play the song called amazing grace,test-544
what is the updated points that i earned with synovus card,test-545
please start whisper mode,test-546
start over using factory setting,test-547
"i need to know how to spell ""miranda",test-548
check on my health care plan,test-549
where is my delta flight,test-550
"um, i'm not sure",test-551
how many calories can i expect to be in fries,test-552
create a reminder to wash the dishes,test-553
does my checking account have a pin number,test-554
female voice please,test-555
how busy is the cafe at 7:00,test-556
thanks for the reply,test-557
check with my bank to see why my account is frozen,test-558
"lost report card, need new one",test-559
play next song,test-560
when can i expect to be paid,test-561
why is my bank account locked,test-562
what does confrontation mean,test-563
what is a british pound worth in mexican pesos,test-564
i want to know how you are doing,test-565
set a 4 minute timer,test-566
can you throw out some suggestions to me of places to travel to,test-567
is vaccination necessary for travel to asia,test-568
is there a status update on my vacation approval,test-569
how much so far pto have i used,test-570
can you tell me the traffic situation from philadelphia to the new jersey turnpike,test-571
add 45 to 87 plus 54 plus 43 plus 22,test-572
can i apply here for a new card,test-573
tell me how to increase credit limit for chase card,test-574
give me an eta on when i will arrive at my destination,test-575
what do i do to set up a vacation,test-576
i need to give my location to macy and george,test-577
turn on the microwave for 3 minutes,test-578
i need a good meal idea from italy,test-579
how do i replace a damaged card,test-580
check how many days off i've taken,test-581
how are the reviews for the supreme pizza at papa john's,test-582
how do i apply for a new credit card,test-583
i want to know the status of my vacation request,test-584
how long will i be on the bus to new orleans,test-585
what kind of traffic is there at 9:00 on the route to detroit,test-586
"please play that song that goes, ""starships were meant to fly",test-587
i would like you to cancel the dinner reservation for williams at the palace tonight,test-588
have i gone over my chocolate budget lately,test-589
adjust settings back to original factory settings immediately,test-590
i would like to start calling you heath,test-591
where should i look for my credit card expiration day,test-592
tell me where my order is,test-593
is my meeting with frank on my calendar,test-594
thanks bye bye!,test-595
i want you to cancel my reservation for 5 at red robin,test-596
"is there a problem with my account, it appears to be blocked",test-597
what is amount of time it takes to get a new credit card i lost mine recently,test-598
i need you to switch the language you are responding in,test-599
could you find out if my bank charges transaction fees on my american card if use internationally,test-600
what do i have in my bank accounts right now,test-601
please make sure the volume stays at 4,test-602
what's the spanish word for pasta,test-603
how many transaction fees are there when i use my discover card in rome,test-604
tell my location to david,test-605
is it ok if i use some of my pto on may 24th to may 29th,test-606
what are the nutrition facts for carrots,test-607
how healthy is a cheeseburger,test-608
give weather update now,test-609
i want you to call me bailey,test-610
would you freeze my bank account,test-611
i want you to change your accent,test-612
what can you tell me about flight dl123,test-613
can you reserve a room for a friday meeting at 5pm,test-614
can i make a car maintenance appointment,test-615
i'm too drunk to drive and need an uber home,test-616
unsure,test-617
will you tell me my bank balance,test-618
how to change oil and what oil type,test-619
remove the connection to my phone,test-620
can i get someone to look at my check engine light that is on,test-621
i need assistance with my current location,test-622
"on my shopping list, remove eggs",test-623
i would like help moving money between accounts,test-624
how can i request a new credit card,test-625
thanks for trying,test-626
tell me the nutrition info for a cup of milk,test-627
can i move my 401k to an ira,test-628
10-4,test-629
call mom,test-630
how much fast food have i bought recently,test-631
i'd rather call you gloria,test-632
find my cellphone for me!,test-633
i would love to know the closest gas station to glendale,test-634
play the next song please if you would,test-635
what should i squirrel away to pay in taxes,test-636
please tell me a recipe for this meal,test-637
what will tomorrow be on the calendar,test-638
tell me what some of your hobbies are,test-639
what's wells fargo's routing number,test-640
"how do you spell the word comity, i need to know",test-641
when is boarding scheduled,test-642
what do i have going on on my calendar for march 18th,test-643
what does post rush hour traffic generally look like heading into the lincoln tunnel in manhattan from new jersey,test-644
what do i do about a card that's too messed up to be properly scanned,test-645
what was the date of my last oil change,test-646
explain my health benefits,test-647
tell me mr joes pizza average wait time,test-648
how do i order some more checks for my bank of america account,test-649
give me the status of my order,test-650
how would you categorize the pets you have,test-651
i'd like to buy a lamp online,test-652
what are my coffers at,test-653
please make sure the alarm is set,test-654
what kid of subjects do you excel in,test-655
what's my name,test-656
i wanna know the carry-on rules for the flight i have,test-657
how many days can i take for vacation,test-658
what does ferrari mean,test-659
give me some ideas of how to avoid my credit score lowering,test-660
how do i switch 401k companies,test-661
what company were you designed by,test-662
stop what you're doing,test-663
roll a die please,test-664
could you share my credit card's apr,test-665
not sure,test-666
what is the amount due on my visa,test-667
look up how much my state taxes are,test-668
what steps do i need to take to report a card lost,test-669
would you tell me how the ai is doing,test-670
i need to know the carry-on rules for southwest,test-671
what is the amount of my taken off days so far,test-672
i have to cancel my reservation after all,test-673
how young are you,test-674
about how much did i spend recently,test-675
play ludacris hits,test-676
what is the proper spelling of corporate,test-677
find me an uber and get it here,test-678
i want the light less bright please,test-679
within what time is is fine to eat cooked tilapia kept in the fridge,test-680
i need a w2 form from,test-681
is there enough in my wells fargo account to buy some nike's,test-682
find inner tube and buy it for me,test-683
has my application for discover card gone through yet,test-684
show me the nearest gas station,test-685
how do i switch insurance plans,test-686
tell me my apr rate,test-687
tell me my credit limit,test-688
place an order for my whole shopping list,test-689
will using a discover card in rome cause transaction fees,test-690
i have a reservation for strip house for jennifer that i'd like to confirm,test-691
can you get me a flight from san francisco to san jose using american airlines,test-692
how do you say please in french,test-693
do you have any ideas for a mexican meal,test-694
i do not actually need my reservation anymore,test-695
"no, definitely not",test-696
tell me how many days off you see that i have taken so far this year please,test-697
share my location with this person,test-698
was there any progress on my vacation request,test-699
is there a reason you put a hold on my chase account,test-700
i don't need grocery shopping on my todo list anymore,test-701
has my vacation time been approved,test-702
what's my apr rate,test-703
how do i get to the airport by foot,test-704
tell me how you are doing,test-705
i don't need the reservation anymore,test-706
i'm afraid my luggage has gone missing,test-707
are socket converters something i need to bring if going to australia,test-708
how far am i from orlando,test-709
what's the tire pressure of my tires,test-710
help me to transfer my 401k,test-711
"what do they call you, ai",test-712
i gotta cancel my reservation for barry at red robin,test-713
what kind of weather can i expect now,test-714
give me a 10 minute timer,test-715
who is your job with,test-716
how much money do i have in my various bank accounts,test-717
"in x, help me book a car",test-718
has my application for american express gone through yet,test-719
what time is boarding for my flight,test-720
please put lawn mowing on my list of to dos,test-721
set the oven temperature to 350,test-722
what will i get paid this year,test-723
set alarm for noon,test-724
access my checking account and update my pin to 1234,test-725
change my name to bob,test-726
i wish to know my debit card's rewards balance,test-727
it is very much false,test-728
do you prefer cats or dogs more,test-729
put on my 90s playlist,test-730
give me the date of my last oil change,test-731
can you give me a american dinner suggestion,test-732
schedule a flight from pittsburgh to arizona on delta,test-733
does tofu last long in the freezer before it goes bad,test-734
what are the minutes needed to cook the meal,test-735
when will i know if my visa card application was approved,test-736
pull up the map and show my location,test-737
my meeting with alice is scheduled for when,test-738
"what is 25% of $54,788",test-739
what steps do i need to take to obtain my w2 for taxes,test-740
my name,test-741
can i put in a pto request for december 25th to january 1st,test-742
i must get the w-2 form,test-743
what sorts of activities should i get up to while i am in dublin,test-744
speak in french please,test-745
what do you know me by,test-746
thank you goodbye,test-747
can you please disconnect from my phone,test-748
please turn on factory settings,test-749
do you have any idea if central needs reservations,test-750
tell me what the status is for my aa flight,test-751
how much have i spent on video games recently,test-752
tell me where you're from,test-753
what are my benefits with this insurance,test-754
show my location on the map,test-755
add grocery shopping to my to do list,test-756
what name do you want me to use,test-757
remind me of the last date that i got my car checked,test-758
thank you for that reply,test-759
how many milliliters are in 2 gallons,test-760
vacation request information,test-761
what's my car's mpg,test-762
does applebees have good reviews,test-763
i'm going to need to book an uber to universal studios,test-764
so i have any vacation days left,test-765
let me know the nearest gas station to glendale,test-766
is vacation a go,test-767
tell me some fun tourist attractions in london,test-768
is milk one of my shopping list items,test-769
sorry i missed that,test-770
add milk to my shopping list,test-771
is a visa necessary for traveling to south africa,test-772
i wanna know my car's tire pressure,test-773
give me my reminders,test-774
stop whisper mode,test-775
what is the minimum i can pay on my credit card bill,test-776
do i have enough fuel to travel to san diego from here,test-777
timezone in salt lake city,test-778
"order me some doritos, please",test-779
i agree,test-780
what does epicurean mean,test-781
i apprecaite the help from you,test-782
has my application for the hsbc card been approved yet,test-783
can you increase my credit limit to $1000,test-784
what's the definition of idiosyncratic,test-785
i need to know how long until the next day off,test-786
how are the reviews for tacos at the buffet,test-787
which company were you designed by,test-788
where can i find wells fargo's routing number,test-789
tell me how long it will take to prepare a lasagna,test-790
put a freeze on my account,test-791
do you have any recommendations for korean,test-792
how would one make a vacation request,test-793
tell me the the carry-on restrictions for american airlines,test-794
book me a hotel in jacksonville near the stadium from january 1st to 3rd,test-795
tell me any animals that you have as pets,test-796
"flip coin, heads!",test-797
i need my checking account's interest rate,test-798
"address me as ""bailey",test-799
play music by ludacris,test-800
tell me the interest for my savings account,test-801
i need to get a new credit card application,test-802
send jack a text saying hi,test-803
lasagna takes how long to cook,test-804
i need a timer to be set,test-805
can you find me a pork recipe,test-806
is a socket converter necessary if i'm travelling to london,test-807
can i get to cuba with this visa,test-808
how do i get downtown by foot,test-809
can you tell me your birthday,test-810
it appears my luggage is lost,test-811
can you tell me the credit card application status,test-812
i have points on my capital one card and i'd like to know how many i've earned,test-813
we have to speak in english,test-814
i'm out of milk so you will order me some more,test-815
"alexa, buy my grocery list",test-816
can you tell me the weather forecast,test-817
i want to know how many days off i have utilized until now,test-818
i need to rent a car for may 8th to may 25th in danville and i'd like a ford,test-819
what does chase pay in interest per year,test-820
i need to make a transfer of my money,test-821
what's my yearly salary,test-822
who's your boss,test-823
can i increase the credit limit on my visa card,test-824
i want to use my credit rewards now,test-825
what ingredients are needed to make lasgana,test-826
please pay my sprint bill using my bank of america checking account,test-827
i need a reminder to give the dog his medicine at ten tonight,test-828
is it possible to reserve a table at white castle,test-829
where's my phone,test-830
what is the name of the person who made you,test-831
i need to up by noon,test-832
can i get a table for four at 8:00,test-833
on what day is our next free day,test-834
define epicurean,test-835
